times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(0.0, 0.2, 0.2)|(0.0, 0.5, 0.5)
302.0|0.0|0.0|0.0|0.0|-49.776680119969285|-123.56220926630525
304.0|0.0|0.0|0.0|0.0|-49.81265863083143|-123.79626715968948
306.0|0.0|0.0|0.0|0.0|-51.34566302502045|-128.26688673874798
308.0|0.0|0.0|0.0|0.0|-50.28369241566353|-125.63441005637206
310.0|0.0|0.0|0.0|0.0|-52.590825823069736|-131.124081356584
312.0|0.0|0.0|0.0|0.0|-47.70130296742853|-118.79814512954351
314.0|0.0|0.0|0.0|0.0|-49.32181521908995|-123.29814901666222
316.0|0.0|0.0|0.0|0.0|-46.61195079637059|-116.52732120963329
318.0|0.0|0.0|0.0|0.0|-46.90275429563687|-117.12532674937772
320.0|0.0|0.0|0.0|0.0|-48.32778431814705|-120.74032445143938
322.0|0.0|0.0|0.0|0.0|-50.94469665552307|-126.2636304075885
324.0|0.0|0.0|0.0|0.0|-51.54486874128676|-127.9782970678746
326.0|0.0|0.0|0.0|0.0|-48.78481238772885|-121.54032199032471
328.0|0.0|0.0|0.0|0.0|-45.12866382059628|-112.80892032845937
330.0|0.0|0.0|0.0|0.0|-47.84596170829398|-119.4646071065258
332.0|0.0|0.0|0.0|0.0|-52.90263958386372|-131.41854079671248
334.0|0.0|0.0|0.0|0.0|-49.63155024399986|-123.89692964964392
336.0|0.0|0.0|0.0|0.0|-47.76169269358086|-119.13310023610578
338.0|0.0|0.0|0.0|0.0|-47.03925682663706|-116.58032475318704
340.0|0.0|0.0|0.0|0.0|-45.03236312983467|-112.531752728711
316.0|0.0|0.0|0.0|0.0|-50.30296673852671|-125.70272802379353
318.0|0.0|0.0|0.0|0.0|-48.5202354092651|-120.5603879920749
320.0|0.0|0.0|0.0|0.0|-47.45141729866032|-118.45911529536237
322.0|0.0|0.0|0.0|0.0|-51.895042018309525|-129.59802747167438
324.0|0.0|0.0|0.0|0.0|-52.08714524622824|-130.1787242844701
326.0|0.0|0.0|0.0|0.0|-51.8473020164042|-129.5973486318443
328.0|0.0|0.0|0.0|0.0|-49.27324777560623|-123.02244210460252
330.0|0.0|0.0|0.0|0.0|-46.835098281479965|-116.87038186637344
332.0|0.0|0.0|0.0|0.0|-49.53503340523093|-123.24559465568248
334.0|0.0|0.0|0.0|0.0|-49.87667559068858|-124.58898490131848
336.0|0.0|0.0|0.0|0.0|-48.373442206848445|-120.12003540332852
338.0|0.0|0.0|0.0|0.0|-50.76237919078887|-126.8317720608906
340.0|0.0|0.0|0.0|0.0|-45.86383891057605|-114.642922639927
342.0|0.0|0.0|0.0|0.0|-46.10831412459515|-115.10926702624616
344.0|0.0|0.0|0.0|0.0|-49.42200826259726|-122.93572960424048
346.0|0.0|0.0|0.0|0.0|-50.29295638405672|-124.9210608489096
348.0|0.0|0.0|0.0|0.0|-49.83575607153058|-124.17979646435984
350.0|0.0|0.0|0.0|0.0|-49.25449693618816|-122.9972118910121
352.0|0.0|0.0|0.0|0.0|-52.78421918439267|-129.65488621753215
354.0|0.0|0.0|0.0|0.0|-52.15325782854112|-129.9661173919094
318.0|0.0|0.0|0.0|0.0|-50.65694624682301|-126.54199526464451
320.0|0.0|0.0|0.0|0.0|-49.6338518825187|-123.75903566586175
322.0|0.0|0.0|0.0|0.0|-47.84191062186188|-119.49725389853518
324.0|0.0|0.0|0.0|0.0|-47.82468632773153|-119.44906133674519
326.0|0.0|0.0|0.0|0.0|-49.49358364799731|-122.84951525748296
328.0|0.0|0.0|0.0|0.0|-48.64394974619884|-121.14670296433658
330.0|0.0|0.0|0.0|0.0|-49.37735850169983|-122.95938092420515
332.0|0.0|0.0|0.0|0.0|-51.297818326426714|-127.66655254198419
334.0|0.0|0.0|0.0|0.0|-51.956424674360235|-129.61978749659568
336.0|0.0|0.0|0.0|0.0|-50.75723216642378|-126.72962186474699
338.0|0.0|0.0|0.0|0.0|-49.404331408579154|-123.42921745172957
340.0|0.0|0.0|0.0|0.0|-52.19268457554244|-130.23024012183467
342.0|0.0|0.0|0.0|0.0|-51.16683094686097|-127.6955771662532
344.0|0.0|0.0|0.0|0.0|-53.60743574723111|-133.87241843550177
346.0|0.0|0.0|0.0|0.0|-50.01945654576554|-125.04445096383388
348.0|0.0|0.0|0.0|0.0|-51.93680924292208|-129.6892436183532
350.0|0.0|0.0|0.0|0.0|-54.748626289000086|-135.8997887784456
352.0|0.0|0.0|0.0|0.0|-50.43244277071648|-125.95695185056158
354.0|0.0|0.0|0.0|0.0|-53.71085581290276|-134.08584432636576
356.0|0.0|0.0|0.0|0.0|-50.65418360513828|-125.94502655986143
