times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(0.0, 0.2, 0.2)|(0.0, 0.5, 0.5)|(0.0, 0.6, 0.6)|(0.0, 1.0, 1.0)
306.0|0.0|0.5|0.5|152.490855378234|90.51380244679213|0.0|-29.93496367601988|-149.26927237474808
308.0|0.0|0.5|0.5|153.3409283306684|91.82269851044452|0.0|-30.552788974608703|-152.65612416908974
310.0|0.0|0.5|0.5|153.79237370256288|92.214473523766|0.0|-30.717591696331063|-153.54681774852253
312.0|0.0|0.5|0.5|143.2098957255139|85.91839623405986|0.0|-28.63746604230576|-143.18917422420773
314.0|0.0|0.5|0.5|150.10363744639255|89.43478316355677|0.0|-29.640912890710023|-147.8866090498358
316.0|0.0|0.5|0.5|153.2742112094057|91.79614439032495|0.0|-30.54181270874088|-152.58498276835505
318.0|0.0|0.5|0.5|149.64297201116787|89.52490674961938|0.0|-29.759882103476|-148.62972082436286
320.0|0.0|0.5|0.5|205.00511245925745|94.92246860397807|0.0|-29.92291004743836|-148.10297995726083
322.0|0.0|0.5|0.5|151.0272463141801|90.5833767744929|0.0|-30.182223484259804|-150.88500235180314
324.0|0.0|0.5|0.5|142.4677312871592|85.24776834201285|0.0|-28.350044921585724|-141.62501074420462
326.0|0.0|0.5|0.5|144.99408943112098|86.98117064380835|0.0|-28.98885346320173|-144.9377018203672
328.0|0.0|0.5|0.5|138.7223304806085|83.23378228880402|0.0|-27.745492461412987|-138.73449049453222
330.0|0.0|0.5|0.5|142.53205051649587|85.50289728855333|0.0|-28.49542809599801|-142.46763503375203
332.0|0.0|0.5|0.5|146.19460584558348|87.70770994553152|0.0|-29.23301965312311|-146.1620857027986
334.0|0.0|0.5|0.5|150.59593141388766|90.35570875650431|0.0|-30.118694546066017|-150.59920909573935
336.0|0.0|0.5|0.5|155.45056156465856|92.64895127728978|0.0|-30.72997123557276|-153.38288468478774
338.0|0.0|0.5|0.5|152.84565895079805|90.77409530426014|0.0|-30.02486942542137|-149.71023119109802
340.0|0.0|0.5|0.5|147.9663963707621|88.1963851225969|0.0|-29.24327655141468|-145.93251794648543
342.0|0.0|0.5|0.5|169.52612808041587|97.7431781140662|0.0|-31.90644962778501|-158.6221535874107
344.0|0.0|0.5|0.5|165.53814842085075|98.19215973643868|0.0|-32.49512534154332|-162.1102892972221
312.0|0.0|0.5|0.5|168.7966522054068|94.311129434186|0.0|-30.63114431500684|-152.23996664763544
314.0|0.0|0.5|0.5|161.64800950658372|94.8232769336504|0.0|-31.208973789426324|-155.4622031611047
316.0|0.0|0.5|0.5|155.14410253294963|91.03648885014834|0.0|-29.912198900605254|-148.8815146747307
318.0|0.0|0.5|0.5|141.77814485097727|84.65038591644057|0.0|-28.10430152669236|-140.31187784192707
320.0|0.0|0.5|0.5|147.77276322024505|88.43611690110816|0.0|-29.4114768495858|-146.92577713150172
322.0|0.0|0.5|0.5|151.47322043970618|90.74855606656892|0.0|-30.20559279861806|-150.93639660591072
324.0|0.0|0.5|0.5|145.3031523708252|86.85855899942891|0.0|-28.85796909167368|-144.10371838504082
326.0|0.0|0.5|0.5|149.08059711909235|89.15305619183682|0.0|-29.62293038990178|-147.91354987224403
328.0|0.0|0.5|0.5|156.5989424049011|93.95594084798708|0.0|-31.31838351895012|-156.59840203489048
330.0|0.0|0.5|0.5|152.716274106051|91.304780872449|0.0|-30.347672961334997|-151.58068821449623
332.0|0.0|0.5|0.5|148.88161768276535|87.41738433599052|0.0|-28.739433863573066|-143.07795425514524
334.0|0.0|0.5|0.5|153.16329857578717|91.17524573729068|0.0|-30.22103387171333|-150.81541451485054
336.0|0.0|0.5|0.5|152.58439511596464|91.49806447111295|0.0|-30.4812912673996|-152.3701620474015
338.0|0.0|0.5|0.5|162.26629580834154|96.42737882351112|0.0|-31.93871984943767|-159.36656731593695
340.0|0.0|0.5|0.5|160.45381204394727|95.97053988343303|0.0|-31.90808255841492|-159.38991298911145
342.0|0.0|0.5|0.5|156.6477141757972|93.64062988002036|0.0|-31.10564659985121|-155.30447422057253
344.0|0.0|0.5|0.5|161.21773819587395|93.2221639654198|0.0|-30.41514491195875|-151.11126034179657
346.0|0.0|0.5|0.5|148.51866465495735|88.41745724912977|0.0|-29.28610594083226|-146.06902047748565
348.0|0.0|0.5|0.5|154.3062622066593|92.1118808996758|0.0|-30.57900705213001|-152.66481230569053
350.0|0.0|0.5|0.5|162.68399676164597|97.0689787139754|0.0|-32.19454789968133|-160.645214479509
322.0|0.0|0.5|0.5|153.48696501506709|91.17089913600651|0.0|-30.186205335785246|-150.59959748668797
324.0|0.0|0.5|0.5|176.67954292190723|95.28375492803129|0.0|-30.762212750071104|-152.80866218019383
