times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.2, 0.2)|(0.0, 0.5, 0.5)|(0.0, 0.6, 0.6)|(0.0, 1.0, 1.0)
308.0|0.0|0.6|0.6|137.1222830544905|33.95674179117607|0.0|-135.07745369419277
310.0|0.0|0.6|0.6|136.2485520274732|33.57886948507027|0.0|-133.48762094996022
312.0|0.0|0.6|0.6|124.64389156050748|31.04351080309626|0.0|-123.88942526110208
314.0|0.0|0.6|0.6|131.73585957700897|32.678976106183455|0.0|-130.0917314671677
316.0|0.0|0.6|0.6|129.29604000181416|32.24629339429891|0.0|-128.76122566900534
318.0|0.0|0.6|0.6|127.60545189153066|31.87017729072766|0.0|-127.3875915892596
320.0|0.0|0.6|0.6|127.45169973655644|31.607082952482504|0.0|-125.95485285079828
322.0|0.0|0.6|0.6|130.92512387278998|31.9848505618999|0.0|-126.7695619632584
324.0|0.0|0.6|0.6|131.9520244683678|32.61620537466448|0.0|-129.81783817196043
326.0|0.0|0.6|0.6|133.98036072271256|32.97407216973896|0.0|-131.1174668899059
328.0|0.0|0.6|0.6|131.48014804405173|32.276917176072935|0.0|-128.03530610413753
330.0|0.0|0.6|0.6|140.66283803277898|33.817768756029494|0.0|-133.5205548135343
332.0|0.0|0.6|0.6|139.55064847408912|33.35877509052404|0.0|-131.44585481216677
334.0|0.0|0.6|0.6|134.41198295844893|33.180630295475865|0.0|-131.88484465528546
336.0|0.0|0.6|0.6|132.2306645763997|32.42214499410948|0.0|-128.49191032099205
338.0|0.0|0.6|0.6|131.73335698839145|32.38159360202084|0.0|-128.53347152954152
340.0|0.0|0.6|0.6|121.51528428355174|29.924038069839387|0.0|-118.8606929584308
342.0|0.0|0.6|0.6|122.98382591262023|30.359760363041413|0.0|-120.60617252999464
344.0|0.0|0.6|0.6|129.96685871201868|32.21339499250352|0.0|-128.23313556553052
346.0|0.0|0.6|0.6|132.6761456142888|32.76054327084034|0.0|-130.16016426321565
310.0|0.0|0.6|0.6|133.5260919175018|32.901172877806715|0.0|-130.80381418241276
312.0|0.0|0.6|0.6|133.06363988392215|32.726545553804364|0.0|-130.09068956623577
314.0|0.0|0.6|0.6|133.3236794429442|32.441145754653625|0.0|-128.6910890187609
316.0|0.0|0.6|0.6|130.6224845816033|31.81988910648807|0.0|-126.24931397958667
318.0|0.0|0.6|0.6|129.55313792158282|31.65724279884688|0.0|-125.6434291696036
320.0|0.0|0.6|0.6|130.98384689519057|32.5261645327634|0.0|-129.6697514588289
322.0|0.0|0.6|0.6|136.3225337480836|33.35775176481756|0.0|-132.3231539699203
324.0|0.0|0.6|0.6|128.71934699307388|31.84447931934697|0.0|-126.77104122616636
326.0|0.0|0.6|0.6|128.6733496844605|31.680497284581712|0.0|-125.83312943962572
328.0|0.0|0.6|0.6|128.50770601190794|31.911118762421754|0.0|-127.1835056563229
330.0|0.0|0.6|0.6|133.9488368871367|32.27365131481312|0.0|-127.49688649015386
332.0|0.0|0.6|0.6|126.74313449236028|31.250681911073382|0.0|-124.11232451373608
334.0|0.0|0.6|0.6|132.4594893239498|32.465882880610124|0.0|-128.92510976170348
336.0|0.0|0.6|0.6|139.55353776499837|33.54038163096319|0.0|-132.38988628909163
338.0|0.0|0.6|0.6|130.3283865139198|32.102207107912136|0.0|-127.48550494677497
340.0|0.0|0.6|0.6|125.85596007263328|31.23894237256016|0.0|-124.49842733058745
342.0|0.0|0.6|0.6|137.28205020316364|32.99319789084768|0.0|-130.24350451697262
344.0|0.0|0.6|0.6|126.17002650091868|31.16349320963678|0.0|-123.95141921072693
346.0|0.0|0.6|0.6|136.3074456041521|32.91967041877884|0.0|-130.10482024205066
348.0|0.0|0.6|0.6|134.81681803949903|33.621050430475094|0.0|-134.23449673935158
324.0|0.0|0.6|0.6|120.4664193356402|29.19380905412605|0.0|-115.67345553517714
326.0|0.0|0.6|0.6|123.53430928712352|30.43151136869953|0.0|-120.99685836001058
328.0|0.0|0.6|0.6|125.52696254545512|30.85766066941065|0.0|-122.63497823078345
330.0|0.0|0.6|0.6|138.10692164916193|33.581269065653146|0.0|-133.13822107751784
332.0|0.0|0.6|0.6|130.8671573684104|32.54797015140147|0.0|-129.7696033937643
334.0|0.0|0.6|0.6|122.1762581276001|30.34283833838441|0.0|-120.8686538860088
336.0|0.0|0.6|0.6|125.77656451996316|31.011448286166623|0.0|-123.12551768439164
338.0|0.0|0.6|0.6|117.01008946700496|29.18187700880152|0.0|-116.54595046579742
340.0|0.0|0.6|0.6|119.37317650049653|29.77751674108798|0.0|-118.95409760366188
342.0|0.0|0.6|0.6|127.47195854603984|30.819458198217543|0.0|-122.04035338092838
344.0|0.0|0.6|0.6|119.46995508098956|29.86127071563413|0.0|-119.42951682887362
346.0|0.0|0.6|0.6|126.22705748971464|31.31821803063321|0.0|-124.84209252628048
348.0|0.0|0.6|0.6|127.32068533849323|31.80489214999932|0.0|-127.15351849796976
350.0|0.0|0.6|0.6|132.13746763589165|32.41085126085656|0.0|-128.79227330350665
352.0|0.0|0.6|0.6|128.7915454926461|31.60350468980818|0.0|-125.58229474602824
354.0|0.0|0.6|0.6|136.58151114230066|33.2755851271784|0.0|-131.98908540791115
356.0|0.0|0.6|0.6|127.04781874631227|31.623386928941|0.0|-126.15004463106804
358.0|0.0|0.6|0.6|129.98687435499423|32.16814069265631|0.0|-128.0760837761685
360.0|0.0|0.6|0.6|125.5377361725705|31.24228084604341|0.0|-124.67343629091096
362.0|0.0|0.6|0.6|123.1699664951904|30.74666191431992|0.0|-122.86869670425574
326.0|0.0|0.6|0.6|127.491091021776|31.82915476353812|0.0|-127.20282388424906
328.0|0.0|0.6|0.6|124.79667611543007|31.18641840739466|0.0|-124.7087646691004
330.0|0.0|0.6|0.6|125.81771707369091|31.41819830344692|0.0|-125.56762032288596
332.0|0.0|0.6|0.6|124.81851888450676|30.923101166517814|0.0|-123.11365993994129
334.0|0.0|0.6|0.6|123.48747609364747|30.66109094560764|0.0|-122.21661532421444
336.0|0.0|0.6|0.6|124.78371061245484|30.618759709794567|0.0|-121.62094181880308
338.0|0.0|0.6|0.6|124.17682780660589|30.874060899273253|0.0|-123.1305245502835
340.0|0.0|0.6|0.6|127.55511135894687|31.691912601085487|0.0|-126.31822128805231
342.0|0.0|0.6|0.6|127.70664630821756|31.848324389712893|0.0|-127.19144740684382
344.0|0.0|0.6|0.6|121.58897386662684|30.392268685234427|0.0|-121.5577100841182
346.0|0.0|0.6|0.6|116.3006055937846|29.07601176882408|0.0|-116.31328909116264
348.0|0.0|0.6|0.6|125.35287221414968|31.33769499225192|0.0|-125.35385838942368
350.0|0.0|0.6|0.6|118.34116434233842|29.58650945109612|0.0|-118.35660541542757
352.0|0.0|0.6|0.6|129.0593241634336|32.25862396251012|0.0|-129.01965593858432
354.0|0.0|0.6|0.6|119.84575709448944|29.928163457151783|0.0|-119.62536887375109
356.0|0.0|0.6|0.6|124.89936837023808|30.77426637864956|0.0|-122.38599092716328
358.0|0.0|0.6|0.6|122.52766074640166|30.59398036742888|0.0|-122.27401950605342
360.0|0.0|0.6|0.6|124.72294431594884|31.06974070120944|0.0|-124.03380875099472
362.0|0.0|0.6|0.6|121.16206129327033|30.232189135146804|0.0|-120.7651780946823
364.0|0.0|0.6|0.6|124.52516382558944|31.067894999888992|0.0|-124.11312493681704
332.0|0.0|0.6|0.6|138.14330037156455|34.05706486121546|0.0|-135.31534483734802
334.0|0.0|0.6|0.6|129.8740704263354|32.2174021738757|0.0|-128.32773071344187
336.0|0.0|0.6|0.6|142.3676513836277|35.11381921130064|0.0|-139.55245364766031
338.0|0.0|0.6|0.6|130.22536497113177|32.211917418252426|0.0|-128.09918966015195
340.0|0.0|0.6|0.6|129.93956158312992|31.81058292168569|0.0|-125.98409193441468
342.0|0.0|0.6|0.6|125.21298223864189|31.05155893896553|0.0|-123.6896065626017
344.0|0.0|0.6|0.6|130.06680014573692|31.907199391175528|0.0|-126.56116995678984
346.0|0.0|0.6|0.6|126.7183028016504|31.336268077688175|0.0|-124.72424120397744
348.0|0.0|0.6|0.6|132.17051801675217|31.861399655347117|0.0|-125.8080647143522
350.0|0.0|0.6|0.6|132.73031264202228|33.106179128418376|0.0|-132.22074372070946
352.0|0.0|0.6|0.6|127.22035382517262|31.00229408043242|0.0|-122.9936268737134
354.0|0.0|0.6|0.6|130.29474341470447|32.27175495380226|0.0|-128.4568284866211
356.0|0.0|0.6|0.6|128.6109892964201|31.62367062319812|0.0|-125.47152395953366
358.0|0.0|0.6|0.6|136.8333809822026|33.853213651502294|0.0|-134.62715491991247
360.0|0.0|0.6|0.6|139.51192589676157|33.81324484583349|0.0|-133.73125183583846
362.0|0.0|0.6|0.6|146.72642619079468|34.719352479854855|0.0|-136.68239653488368
364.0|0.0|0.6|0.6|136.49666798444585|32.870555850657055|0.0|-129.73267923538356
366.0|0.0|0.6|0.6|135.2691989269802|32.92702958287995|0.0|-130.47015427522223
368.0|0.0|0.6|0.6|129.09631249075653|32.01979561511441|0.0|-127.52683312075466
