times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(0.0, 0.2, 0.2)|(0.0, 0.5, 0.5)|(0.0, 0.6, 0.6)
304.0|0.0|0.2|0.2|48.96155222074938|0.0|-73.03063392823267|-97.3172956210467
306.0|0.0|0.2|0.2|52.414535172623225|0.0|-78.43026607519732|-104.54805092050783
308.0|0.0|0.2|0.2|51.32542279075636|0.0|-76.90778876430518|-102.53232723997762
310.0|0.0|0.2|0.2|54.79521125000385|0.0|-82.15680627967713|-109.53780059277815
312.0|0.0|0.2|0.2|53.34183375439788|0.0|-79.41682298341263|-105.8148994426012
314.0|0.0|0.2|0.2|62.03177721574842|0.0|-86.24652916921792|-114.56584054636755
316.0|0.0|0.2|0.2|58.10883953040995|0.0|-85.67250423741203|-114.09035884087662
318.0|0.0|0.2|0.2|55.92725265201228|0.0|-83.87159790052473|-111.82662390005908
320.0|0.0|0.2|0.2|55.53942740574512|0.0|-82.95085805977332|-110.5579347426128
322.0|0.0|0.2|0.2|55.91890900129402|0.0|-83.49424907786711|-111.27560015554516
324.0|0.0|0.2|0.2|53.97302983347298|0.0|-80.87397800313474|-107.82004706880096
326.0|0.0|0.2|0.2|53.01981206633974|0.0|-79.52187597971418|-106.02892987241496
328.0|0.0|0.2|0.2|54.30583528057844|0.0|-81.21792520442801|-108.2577619764241
330.0|0.0|0.2|0.2|55.23498125233039|0.0|-81.56208517641181|-108.62522371651944
332.0|0.0|0.2|0.2|55.22386313933247|0.0|-78.52422628834769|-104.37049884381756
334.0|0.0|0.2|0.2|54.68179265045715|0.0|-81.73744368858537|-108.94064444714822
336.0|0.0|0.2|0.2|55.76753785168644|0.0|-83.31351050675869|-111.04133962340538
338.0|0.0|0.2|0.2|56.056269369689936|0.0|-83.86215831187654|-111.7843669651202
340.0|0.0|0.2|0.2|51.846086183877205|0.0|-77.65964608974782|-103.531040784806
342.0|0.0|0.2|0.2|62.07610613195319|0.0|-83.95498881397211|-111.4286244996619
314.0|0.0|0.2|0.2|56.955208657770775|0.0|-85.1310197122641|-113.46504266299468
316.0|0.0|0.2|0.2|55.93982469807141|0.0|-82.61014463527182|-109.99357905671114
318.0|0.0|0.2|0.2|54.448499718372055|0.0|-81.63203776312005|-108.83695588512504
320.0|0.0|0.2|0.2|53.63094015409816|0.0|-80.33859965912539|-107.10344550933048
322.0|0.0|0.2|0.2|54.39664783840614|0.0|-81.15303520926956|-108.15281705412774
324.0|0.0|0.2|0.2|55.36019005007767|0.0|-82.76535916659155|-110.31689425548107
326.0|0.0|0.2|0.2|53.19788256051376|0.0|-79.51634056440356|-105.98468370036863
328.0|0.0|0.2|0.2|57.16891655423197|0.0|-85.05893097535089|-113.3277278883186
330.0|0.0|0.2|0.2|52.61624178885017|0.0|-78.92208384161788|-105.22998943236712
332.0|0.0|0.2|0.2|52.73061447920284|0.0|-78.94716376480005|-105.2404371488162
334.0|0.0|0.2|0.2|54.11347368824629|0.0|-81.03769491886526|-108.03035401150277
336.0|0.0|0.2|0.2|54.33844154483243|0.0|-80.87867922223951|-107.75782346192004
338.0|0.0|0.2|0.2|55.08886520108389|0.0|-82.46509412614714|-109.93174046346203
340.0|0.0|0.2|0.2|51.11712366038434|0.0|-76.51045131717255|-101.99014192247274
342.0|0.0|0.2|0.2|52.80571071296245|0.0|-78.5914736476829|-104.72677830197584
344.0|0.0|0.2|0.2|56.82188417790137|0.0|-85.1997851736058|-113.59517558247842
346.0|0.0|0.2|0.2|53.70337168823401|0.0|-80.5544707242921|-107.40678728153406
348.0|0.0|0.2|0.2|54.77717640085447|0.0|-82.162733463247|-109.55070023816046
350.0|0.0|0.2|0.2|55.24198242130022|0.0|-82.86965395621829|-110.49495799502766
352.0|0.0|0.2|0.2|53.89847228106715|0.0|-80.82586143087882|-107.76516742811556
320.0|0.0|0.2|0.2|54.48297870244702|0.0|-81.71608894117512|-108.9541486314803
322.0|0.0|0.2|0.2|54.13781566862982|0.0|-81.18349181406981|-108.241859900166
324.0|0.0|0.2|0.2|54.30044340105171|0.0|-81.40655655502073|-108.53567596224924
326.0|0.0|0.2|0.2|53.66549850501786|0.0|-80.2607644248648|-106.98405244383724
328.0|0.0|0.2|0.2|56.439118145873344|0.0|-84.53752795078067|-112.70025698501848
330.0|0.0|0.2|0.2|55.21647864538769|0.0|-82.7065128722863|-110.2577169845451
332.0|0.0|0.2|0.2|61.569470406609526|0.0|-83.59141773796252|-110.9389209309164
334.0|0.0|0.2|0.2|55.51979171043387|0.0|-83.22462301710232|-110.95862248382058
336.0|0.0|0.2|0.2|55.5020371782279|0.0|-82.11548823763553|-109.37288473108924
338.0|0.0|0.2|0.2|56.47221749776433|0.0|-84.14717309739241|-112.13273169126111
340.0|0.0|0.2|0.2|56.47546309514799|0.0|-82.88779856802972|-110.34516067307835
342.0|0.0|0.2|0.2|52.68198793274748|0.0|-77.86183228435996|-103.69694957639636
344.0|0.0|0.2|0.2|54.92013804215394|0.0|-81.10448971831579|-107.99166351864322
346.0|0.0|0.2|0.2|55.75304242611285|0.0|-81.49757175160396|-108.45096114227582
348.0|0.0|0.2|0.2|53.972312154547424|0.0|-80.84803855390304|-107.78182939970227
350.0|0.0|0.2|0.2|53.76015951052827|0.0|-80.58552511341777|-107.43955396813438
352.0|0.0|0.2|0.2|53.41367425883267|0.0|-80.10190239596717|-106.8004735528562
354.0|0.0|0.2|0.2|54.60606823655481|0.0|-81.62808293009513|-108.7981370543903
356.0|0.0|0.2|0.2|54.5199906709568|0.0|-81.64318796058602|-108.83829498956284
358.0|0.0|0.2|0.2|55.75114268778827|0.0|-81.89999374281939|-109.03463336745293
