times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.5, 0.5)|(0.0, 0.6, 0.6)|(0.0, 1.0, 1.0)
328.0|0.0|1.0|1.0|187.79753095816065|150.2078933969269|0.0
330.0|0.0|1.0|1.0|182.7395646378405|146.17539569165638|0.0
332.0|0.0|1.0|1.0|192.81141997206203|154.21434526762047|0.0
334.0|0.0|1.0|1.0|197.9082287643008|158.11227395334026|0.0
336.0|0.0|1.0|1.0|182.729407370276|146.0975722779938|0.0
338.0|0.0|1.0|1.0|190.0561729116141|151.9189953037874|0.0
340.0|0.0|1.0|1.0|188.2815285573111|150.56087659801418|0.0
342.0|0.0|1.0|1.0|179.94740692826358|143.91128586914513|0.0
344.0|0.0|1.0|1.0|191.0676104815668|152.6333104226477|0.0
346.0|0.0|1.0|1.0|188.0418457498334|150.31256644556416|0.0
348.0|0.0|1.0|1.0|190.76432105771045|152.1578320944674|0.0
350.0|0.0|1.0|1.0|193.94030696412344|154.9762973803484|0.0
352.0|0.0|1.0|1.0|193.390120793126|154.55768792996088|0.0
354.0|0.0|1.0|1.0|191.4377892696301|153.0129727044191|0.0
356.0|0.0|1.0|1.0|191.18294570600355|152.6541974122677|0.0
358.0|0.0|1.0|1.0|184.4839584034125|147.1713060670477|0.0
360.0|0.0|1.0|1.0|194.9001256886799|155.7128588571365|0.0
362.0|0.0|1.0|1.0|192.3219730790701|153.40009378101252|0.0
364.0|0.0|1.0|1.0|200.1582484387525|159.67462212783715|0.0
366.0|0.0|1.0|1.0|181.0509758966085|144.2735634344368|0.0
330.0|0.0|1.0|1.0|190.7124354046196|152.23031935426425|0.0
332.0|0.0|1.0|1.0|191.60560962013687|152.9199057904462|0.0
334.0|0.0|1.0|1.0|194.2695392145252|155.14576079342322|0.0
336.0|0.0|1.0|1.0|189.27106594387223|151.1047978541805|0.0
338.0|0.0|1.0|1.0|189.33755003056825|151.23212422691654|0.0
340.0|0.0|1.0|1.0|199.0627748886504|158.79754587270918|0.0
342.0|0.0|1.0|1.0|191.54779002885184|153.08680413462122|0.0
344.0|0.0|1.0|1.0|202.2953206487585|161.63755503550723|0.0
346.0|0.0|1.0|1.0|197.6765451216588|157.91292976726066|0.0
348.0|0.0|1.0|1.0|196.5375464557496|157.0188960256939|0.0
350.0|0.0|1.0|1.0|205.85953876760345|164.30355154519384|0.0
352.0|0.0|1.0|1.0|190.2763652482213|151.83579014253618|0.0
354.0|0.0|1.0|1.0|200.09150936495988|159.87255459726478|0.0
356.0|0.0|1.0|1.0|189.7505497647679|151.3628363555064|0.0
358.0|0.0|1.0|1.0|200.8776261491595|160.45202206828168|0.0
360.0|0.0|1.0|1.0|191.5535669220104|153.12613969417978|0.0
362.0|0.0|1.0|1.0|196.3229891651739|156.7148669703821|0.0
364.0|0.0|1.0|1.0|193.67498191091988|154.68103582848212|0.0
366.0|0.0|1.0|1.0|190.29280431717945|151.7887830174589|0.0
368.0|0.0|1.0|1.0|186.6961099606156|149.16026285676477|0.0
336.0|0.0|1.0|1.0|200.63473827205047|160.22450265204446|0.0
338.0|0.0|1.0|1.0|193.0797558994257|153.9746742807377|0.0
340.0|0.0|1.0|1.0|197.0153753934823|157.39352780038664|0.0
342.0|0.0|1.0|1.0|188.7310725022303|150.5246785618371|0.0
344.0|0.0|1.0|1.0|204.65912367251565|163.47670099402316|0.0
346.0|0.0|1.0|1.0|190.85439736139637|152.3658373986442|0.0
348.0|0.0|1.0|1.0|192.16301310810533|153.2843313265378|0.0
350.0|0.0|1.0|1.0|211.1489404980872|168.64337962881467|0.0
352.0|0.0|1.0|1.0|192.2413076568719|153.6047943848371|0.0
354.0|0.0|1.0|1.0|204.5526133658392|163.4769998861859|0.0
356.0|0.0|1.0|1.0|193.67525547323893|154.32712893240313|0.0
358.0|0.0|1.0|1.0|188.16424968948675|150.0911228146482|0.0
360.0|0.0|1.0|1.0|186.4597149669277|148.79750909039856|0.0
362.0|0.0|1.0|1.0|199.2646959642278|159.23013570850026|0.0
364.0|0.0|1.0|1.0|182.60392163289592|145.92427561514495|0.0
366.0|0.0|1.0|1.0|194.300296400145|155.1784514904925|0.0
368.0|0.0|1.0|1.0|199.00874295342263|159.03674065852044|0.0
370.0|0.0|1.0|1.0|202.6258092594395|161.88011531329923|0.0
372.0|0.0|1.0|1.0|196.51189745539935|156.79507476672504|0.0
374.0|0.0|1.0|1.0|185.61104528787016|148.21440763104633|0.0
