times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(0.0, 0.2, 0.2)|(0.0, 0.5, 0.5)
302.0|0.0|0.0|0.0|0.0|-55.8135351602998|-137.93383100238538
304.0|0.0|0.0|0.0|0.0|-51.63719602380415|-129.08517242522558
306.0|0.0|0.0|0.0|0.0|-45.17266344882409|-112.49572693547525
308.0|0.0|0.0|0.0|0.0|-46.16084822169873|-115.2934960498999
310.0|0.0|0.0|0.0|0.0|-47.66683073797486|-118.99801448773124
312.0|0.0|0.0|0.0|0.0|-48.13258916056358|-120.15082973938696
314.0|0.0|0.0|0.0|0.0|-47.66620593514892|-119.05402383947452
316.0|0.0|0.0|0.0|0.0|-51.72329891924584|-129.26564587729314
318.0|0.0|0.0|0.0|0.0|-50.6259847337908|-126.5565109540912
320.0|0.0|0.0|0.0|0.0|-50.810269483102445|-126.96360207994032
322.0|0.0|0.0|0.0|0.0|-49.649308153516486|-123.92767163735508
324.0|0.0|0.0|0.0|0.0|-49.25661282251699|-122.98808808109214
326.0|0.0|0.0|0.0|0.0|-50.95908738440826|-126.5899125754586
328.0|0.0|0.0|0.0|0.0|-51.43850703636473|-128.4418805011659
330.0|0.0|0.0|0.0|0.0|-51.90114819944503|-129.10715704143544
332.0|0.0|0.0|0.0|0.0|-50.9554297548892|-126.70141623877822
334.0|0.0|0.0|0.0|0.0|-48.31817248656067|-120.52571481251948
336.0|0.0|0.0|0.0|0.0|-48.92281613417001|-122.18618404925785
338.0|0.0|0.0|0.0|0.0|-49.650731690769575|-123.76603852348843
340.0|0.0|0.0|0.0|0.0|-49.446466760264144|-123.45763415973508
316.0|0.0|0.0|0.0|0.0|-50.78196929238028|-126.76025240114538
318.0|0.0|0.0|0.0|0.0|-53.770266118405445|-131.80244329442274
320.0|0.0|0.0|0.0|0.0|-51.418258358816345|-128.25034128444156
322.0|0.0|0.0|0.0|0.0|-51.21413527544407|-127.89620810842638
324.0|0.0|0.0|0.0|0.0|-51.48677558768575|-128.22248858763965
326.0|0.0|0.0|0.0|0.0|-52.7945824680295|-131.92654264499137
328.0|0.0|0.0|0.0|0.0|-51.23488041793705|-127.77046907260348
330.0|0.0|0.0|0.0|0.0|-48.40598767948007|-120.94492542454611
332.0|0.0|0.0|0.0|0.0|-54.13685988917006|-135.21581036979464
334.0|0.0|0.0|0.0|0.0|-51.7104668201164|-129.15599466992447
336.0|0.0|0.0|0.0|0.0|-53.32876355473116|-133.32357136894208
338.0|0.0|0.0|0.0|0.0|-54.72142203621092|-136.76542438722615
340.0|0.0|0.0|0.0|0.0|-52.65707518653906|-131.5812023022623
342.0|0.0|0.0|0.0|0.0|-49.00689433072255|-122.44023056711714
344.0|0.0|0.0|0.0|0.0|-53.00233278510965|-131.82159096806757
346.0|0.0|0.0|0.0|0.0|-53.272526234388685|-132.94222380819352
348.0|0.0|0.0|0.0|0.0|-50.43406050343773|-125.42828253798066
350.0|0.0|0.0|0.0|0.0|-56.62539719825989|-140.99444622257982
352.0|0.0|0.0|0.0|0.0|-50.77801952532288|-126.77844260667358
354.0|0.0|0.0|0.0|0.0|-53.94128984989286|-134.55971843107355
318.0|0.0|0.0|0.0|0.0|-53.60676872799597|-133.79847048801628
320.0|0.0|0.0|0.0|0.0|-48.66844877161499|-121.1334875402322
322.0|0.0|0.0|0.0|0.0|-47.85681301360031|-119.34877203983068
324.0|0.0|0.0|0.0|0.0|-50.15421638347684|-124.6770466380564
326.0|0.0|0.0|0.0|0.0|-50.32916961813935|-125.0497195714529
328.0|0.0|0.0|0.0|0.0|-46.49092648890121|-115.3878514086171
330.0|0.0|0.0|0.0|0.0|-50.23774070076694|-125.22336916346552
332.0|0.0|0.0|0.0|0.0|-47.59696933870631|-118.86027586033096
334.0|0.0|0.0|0.0|0.0|-51.56368881560841|-128.8962894648438
336.0|0.0|0.0|0.0|0.0|-53.47144825639787|-133.67906222461437
338.0|0.0|0.0|0.0|0.0|-49.93168019194161|-124.70365817248764
340.0|0.0|0.0|0.0|0.0|-47.5648207003045|-118.62679379873909
342.0|0.0|0.0|0.0|0.0|-49.48819007981372|-123.51711538880436
344.0|0.0|0.0|0.0|0.0|-49.5105158045924|-123.63902117485628
346.0|0.0|0.0|0.0|0.0|-48.26816799657512|-120.64758513678964
348.0|0.0|0.0|0.0|0.0|-48.60066441958286|-121.4369323204704
350.0|0.0|0.0|0.0|0.0|-50.141465339849|-124.49525434542724
352.0|0.0|0.0|0.0|0.0|-51.85581284409622|-129.58385120214274
354.0|0.0|0.0|0.0|0.0|-52.87652451438011|-131.9718357839371
356.0|0.0|0.0|0.0|0.0|-50.155457545847504|-125.26867412300317
