times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(0.0, 0.2, 0.2)|(0.0, 0.5, 0.5)|(0.0, 0.6, 0.6)|(0.0, 1.0, 1.0)
306.0|0.0|0.5|0.5|141.96138769935698|85.10413799282753|0.0|-28.34286982101776|-141.66070218349287
308.0|0.0|0.5|0.5|148.92337477544288|89.2176928885524|0.0|-29.69770746762865|-148.40766758852655
310.0|0.0|0.5|0.5|148.19842787660036|88.33863415094139|0.0|-29.309909239862023|-146.32612515187864
312.0|0.0|0.5|0.5|153.7948492726829|92.193718249338|0.0|-30.702642022215944|-153.451960858884
314.0|0.0|0.5|0.5|154.84349807258712|92.3921742022138|0.0|-30.67004420124318|-153.12912186118558
316.0|0.0|0.5|0.5|158.2021678821499|94.64290648961747|0.0|-31.46119993580577|-157.12867050497334
318.0|0.0|0.5|0.5|148.60614549393227|88.80938761883316|0.0|-29.497019111140684|-147.27222185544193
320.0|0.0|0.5|0.5|152.4349456572116|90.1894757429045|0.0|-29.81617177216268|-148.72135913511516
322.0|0.0|0.5|0.5|151.9165214223273|90.99740321171583|0.0|-30.27895984834364|-151.27354021102528
324.0|0.0|0.5|0.5|166.60138214510832|98.85983079132356|0.0|-32.69895797603411|-163.0619247934097
326.0|0.0|0.5|0.5|161.497165217735|96.24419507809998|0.0|-31.893658056407904|-159.1021051660966
328.0|0.0|0.5|0.5|158.17873608750628|94.48649807830073|0.0|-31.36998210046703|-156.59450123886356
330.0|0.0|0.5|0.5|189.2428501859624|103.125525175272|0.0|-33.24286741161164|-164.94975809000644
332.0|0.0|0.5|0.5|201.3445041508711|104.83016628317635|0.0|-33.39010810793932|-165.35348541253168
334.0|0.0|0.5|0.5|162.78301956634306|95.65053951695342|0.0|-31.507918300658403|-156.98780786344332
336.0|0.0|0.5|0.5|170.37878636562317|95.427731451756|0.0|-31.03121569666989|-154.29178704496496
338.0|0.0|0.5|0.5|152.051200204537|90.78064053603158|0.0|-30.144709984831795|-150.51880372661148
340.0|0.0|0.5|0.5|169.38961204016388|96.4247918020783|0.0|-31.43001045417744|-156.25786254198712
342.0|0.0|0.5|0.5|152.54842167107307|91.33247145824774|0.0|-30.379929673742|-151.76221201077692
344.0|0.0|0.5|0.5|154.63695683340958|92.32099733969427|0.0|-30.640403217429448|-152.94146993123636
312.0|0.0|0.5|0.5|272.45728891699343|105.05086690532616|0.0|-31.758950567043883|-156.16046591329558
314.0|0.0|0.5|0.5|161.61623912719244|93.55671210581416|0.0|-30.692935625876164|-152.86020165874524
