times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.2, 0.2)|(0.0, 0.5, 0.5)|(0.0, 0.6, 0.6)|(0.0, 1.0, 1.0)
310.0|0.0|0.6|0.6|137.40633699458218|33.12566622197824|0.0|-131.17668975456172
312.0|0.0|0.6|0.6|129.40790672623564|32.14284293281608|0.0|-128.1018898215544
314.0|0.0|0.6|0.6|132.5946392412604|32.32435659715563|0.0|-128.25835058121535
316.0|0.0|0.6|0.6|120.90341487568708|30.191166607957264|0.0|-120.66171750125832
318.0|0.0|0.6|0.6|134.39758547494245|33.294702405012046|0.0|-132.48756661204027
320.0|0.0|0.6|0.6|126.0547909072028|31.27356489242207|0.0|-124.53213122143129
322.0|0.0|0.6|0.6|121.42431468068835|29.75092547052674|0.0|-118.09952438222136
324.0|0.0|0.6|0.6|124.68122437370992|30.886690359647165|0.0|-122.95798609410944
326.0|0.0|0.6|0.6|129.67095378210715|32.21969536911331|0.0|-128.39054872733752
328.0|0.0|0.6|0.6|131.7075779615061|32.31306286390578|0.0|-128.30149406070433
330.0|0.0|0.6|0.6|129.50001954940564|31.484984659616227|0.0|-124.40954997286607
332.0|0.0|0.6|0.6|130.03511926512843|32.40986677424248|0.0|-129.3995056612057
334.0|0.0|0.6|0.6|125.94149051359322|31.136982994580208|0.0|-123.8530262748233
336.0|0.0|0.6|0.6|126.21931331197868|30.76045317021976|0.0|-121.83942861256
338.0|0.0|0.6|0.6|137.06959528966496|33.240790364375215|0.0|-131.419050770915
340.0|0.0|0.6|0.6|121.83746132798257|29.82075647398104|0.0|-118.2621284734595
342.0|0.0|0.6|0.6|140.26626554694553|33.47964066430395|0.0|-132.17324013068458
344.0|0.0|0.6|0.6|133.07623388251736|32.5536237726523|0.0|-129.22404582965126
346.0|0.0|0.6|0.6|122.60428521410276|30.4464981932502|0.0|-121.32094696336092
310.0|0.0|0.6|0.6|135.25577917546343|32.89098521442487|0.0|-130.3393070541297
312.0|0.0|0.6|0.6|123.48101022872078|30.81224088124346|0.0|-123.07427540934914
314.0|0.0|0.6|0.6|130.9394470554223|31.52787652931917|0.0|-124.6908969969248
