times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(0.0, 0.2, 0.2)|(0.0, 0.5, 0.5)|(0.0, 0.6, 0.6)|(0.0, 1.0, 1.0)
306.0|0.0|0.5|0.5|161.40015866864275|95.53137779737|0.0|-31.579566298278827|-157.49400284949112
308.0|0.0|0.5|0.5|257.11923736699555|98.4463177056138|0.0|-30.64539995138322|-151.66343237258462
310.0|0.0|0.5|0.5|144.31449815150344|86.10293090450064|0.0|-28.582191256047405|-142.71079985049383
312.0|0.0|0.5|0.5|180.1860782306267|92.69227713165502|0.0|-29.702697446954986|-147.43467903358246
314.0|0.0|0.5|0.5|163.14485639234496|87.98210308299711|0.0|-28.388699952660424|-141.0188675698081
316.0|0.0|0.5|0.5|201.1786764147824|96.2049929223872|0.0|-30.5529645948637|-151.4969038441389
318.0|0.0|0.5|0.5|152.6069454320288|89.76343113888487|0.0|-29.598218593792023|-147.53855841376316
320.0|0.0|0.5|0.5|150.0651141305068|89.8240623428882|0.0|-29.879577438445683|-149.2815269534252
322.0|0.0|0.5|0.5|149.26818656875625|89.45211890900605|0.0|-29.7779253959066|-148.79938856484696
324.0|0.0|0.5|0.5|145.94500218241862|87.41401040072857|0.0|-29.083831936091084|-145.2960920988868
326.0|0.0|0.5|0.5|148.63012947918148|89.08608408347136|0.0|-29.661727268109647|-148.23243572557442
328.0|0.0|0.5|0.5|158.6006164651211|95.04628594894646|0.0|-31.643270856724538|-158.13287724870315
330.0|0.0|0.5|0.5|154.3365702097082|92.40930899756133|0.0|-30.74024164311305|-153.5677064267963
332.0|0.0|0.5|0.5|144.62194673579702|86.4179412916478|0.0|-28.709049870990107|-143.3583083493056
334.0|0.0|0.5|0.5|144.20225147941767|85.99326112190961|0.0|-28.50452657607429|-142.19476675291116
336.0|0.0|0.5|0.5|146.26253204474878|87.05329484250333|0.0|-28.81724714530063|-143.69143801842048
338.0|0.0|0.5|0.5|153.95658539458725|89.09052862682263|0.0|-29.141845722850423|-144.92849695494564
340.0|0.0|0.5|0.5|155.37743261547334|90.6880380025383|0.0|-29.814505068407875|-148.51663657875756
342.0|0.0|0.5|0.5|151.15288403062524|89.00008757337801|0.0|-29.35788734230156|-146.3506427525172
344.0|0.0|0.5|0.5|146.86644450418385|88.0143479748061|0.0|-29.302323795818584|-146.43445920734868
312.0|0.0|0.5|0.5|158.47985896534638|94.8428467713687|0.0|-31.54210852450874|-157.56980494157827
314.0|0.0|0.5|0.5|150.93245865945133|90.23056750500685|0.0|-29.983740512880416|-149.7389113294845
316.0|0.0|0.5|0.5|153.91466956821716|92.19647244774151|0.0|-30.68157603503338|-153.29949377134344
318.0|0.0|0.5|0.5|158.5278201812235|95.00387365762872|0.0|-31.627821340351115|-158.0479496580392
320.0|0.0|0.5|0.5|157.4634077748745|94.38811696299202|0.0|-31.43198111606553|-157.09443468740008
322.0|0.0|0.5|0.5|151.18686823841247|89.0345496708936|0.0|-29.31241182847952|-145.9700989921602
324.0|0.0|0.5|0.5|198.76860420874652|94.41421852322692|0.0|-29.93354182742365|-148.3653684371815
326.0|0.0|0.5|0.5|157.12499936620554|93.67983372439303|0.0|-31.062964123528158|-155.0068620591508
328.0|0.0|0.5|0.5|160.71340917502275|94.57929649592208|0.0|-31.202352568123864|-155.56825921923962
330.0|0.0|0.5|0.5|164.13521953183073|93.88853137764868|0.0|-30.551164487260024|-151.73911119276406
332.0|0.0|0.5|0.5|153.52160442149145|91.9349873989364|0.0|-30.589804320432208|-152.8366719220376
334.0|0.0|0.5|0.5|155.27965435045758|91.97709573212084|0.0|-30.3981198792702|-151.56510360562015
336.0|0.0|0.5|0.5|153.92136677905373|91.96248041195324|0.0|-30.548913508428534|-152.54992964113842
338.0|0.0|0.5|0.5|158.6065993743489|93.82636518508257|0.0|-30.97052370103805|-154.35152326113396
340.0|0.0|0.5|0.5|157.63865314707536|89.27156102412012|0.0|-29.071298729127427|-144.54059234183376
342.0|0.0|0.5|0.5|148.2135193978425|88.88778010966683|0.0|-29.616174076096662|-148.05759225356474
344.0|0.0|0.5|0.5|148.0315835694264|88.7167040298352|0.0|-29.53684944699312|-147.6069337954994
346.0|0.0|0.5|0.5|147.13033082223177|88.18374384162804|0.0|-29.36207183258252|-146.73973449099867
348.0|0.0|0.5|0.5|163.1952931783421|93.77675584066996|0.0|-30.58968442583207|-152.03477971079516
350.0|0.0|0.5|0.5|179.88322448008952|97.054525504811|0.0|-31.10399847131264|-154.12116521367486
322.0|0.0|0.5|0.5|134.45539155697568|80.6163565999179|0.0|-26.85224394501851|-134.2192312865144
324.0|0.0|0.5|0.5|151.47885717439456|89.75810511695721|0.0|-29.669437672717663|-147.94202737187496
326.0|0.0|0.5|0.5|153.45182745503823|91.96676791026883|0.0|-30.620157917197844|-153.02504321956002
328.0|0.0|0.5|0.5|167.88780219357378|96.02074532351725|0.0|-31.38796460127527|-156.2077905057487
330.0|0.0|0.5|0.5|154.7712421587032|92.7705919443008|0.0|-30.889165929764133|-154.36524359347027
332.0|0.0|0.5|0.5|150.64430128458338|90.1047271498062|0.0|-29.950571926085846|-149.58523516404435
334.0|0.0|0.5|0.5|141.68619245015358|84.94697137483597|0.0|-28.29300548950545|-141.41622190350319
336.0|0.0|0.5|0.5|146.74193312148287|88.01162248355692|0.0|-29.32667928545392|-146.61567397952552
338.0|0.0|0.5|0.5|151.5673512071379|89.64089717269637|0.0|-29.628938628976307|-147.77920713263563
340.0|0.0|0.5|0.5|149.57868317764547|88.21285289871237|0.0|-29.09994171707528|-145.03974394250866
342.0|0.0|0.5|0.5|145.08458621022353|86.95278095430336|0.0|-28.949703655833165|-144.6709076361938
344.0|0.0|0.5|0.5|189.07224017527025|97.57818457418327|0.0|-31.307277226547132|-155.4291848647153
346.0|0.0|0.5|0.5|145.88948929562298|87.5101472918332|0.0|-29.161932289386414|-145.79484348802123
348.0|0.0|0.5|0.5|151.51324497103292|90.6632806127087|0.0|-30.15120624556968|-150.62265608829162
350.0|0.0|0.5|0.5|150.68939347343047|90.24577554353235|0.0|-30.026313226547558|-150.0106009282339
352.0|0.0|0.5|0.5|161.8569503263472|95.23452384262308|0.0|-31.39833970550705|-156.48827124913353
354.0|0.0|0.5|0.5|147.10661702198485|87.75132793743511|0.0|-29.12535261689128|-145.41274954119586
356.0|0.0|0.5|0.5|151.02097633338457|90.49719788952021|0.0|-30.126534977209186|-150.5474669784355
358.0|0.0|0.5|0.5|147.1555221967298|88.06069145796194|0.0|-29.283833009467745|-146.2785573929146
360.0|0.0|0.5|0.5|152.22433306772274|90.56249485084349|0.0|-29.98903276168932|-149.58796234394734
