times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(0.0, 0.2, 0.2)|(0.0, 0.5, 0.5)|(0.0, 0.6, 0.6)|(0.0, 1.0, 1.0)
304.0|0.0|0.2|0.2|52.63854387243896|0.0|-76.9668343200553|-102.4469234482391|-204.08921061877035
306.0|0.0|0.2|0.2|54.20430819860393|0.0|-80.94277386028762|-107.87834286116056|-215.5293875200526
308.0|0.0|0.2|0.2|53.74448202555258|0.0|-80.52154530399925|-107.3486113837746|-214.6302523478406
310.0|0.0|0.2|0.2|53.071346478920574|0.0|-79.48505651802185|-105.96330362311473|-211.8422267802005
312.0|0.0|0.2|0.2|53.66341976912764|0.0|-80.26896960576667|-106.99473488350986|-213.83322346670923
314.0|0.0|0.2|0.2|55.05613904223283|0.0|-82.54332619463447|-110.05242366235952|-220.0822480376244
316.0|0.0|0.2|0.2|59.6061035142741|0.0|-86.5537700487885|-115.14136669361444|-229.04785788328232
318.0|0.0|0.2|0.2|55.17620757024552|0.0|-82.61696511801608|-110.13595135696336|-220.17177046204787
320.0|0.0|0.2|0.2|56.79571507141669|0.0|-82.90232607807135|-110.33641512216276|-219.753691249736
322.0|0.0|0.2|0.2|58.33368580374524|0.0|-86.61219249036645|-115.3839523012501|-230.284221093418
324.0|0.0|0.2|0.2|56.64763342425575|0.0|-84.79079937539963|-113.02834770376737|-225.92066570029849
326.0|0.0|0.2|0.2|53.41280291219129|0.0|-79.48874960932267|-105.90203917300424|-211.3763433970441
328.0|0.0|0.2|0.2|56.3351644648185|0.0|-79.69379132171608|-105.92748891191265|-210.41873850087748
330.0|0.0|0.2|0.2|50.8176117606411|0.0|-76.13356180902396|-101.49805397104689|-202.92951915871245
332.0|0.0|0.2|0.2|53.59630412498444|0.0|-78.27710494992108|-104.18321335228084|-207.5107896296654
334.0|0.0|0.2|0.2|54.57968635937654|0.0|-81.49879602741217|-108.61613874569495|-216.9820372048011
336.0|0.0|0.2|0.2|61.43602940946291|0.0|-83.98468383478689|-111.46401873544735|-220.68956989410623
338.0|0.0|0.2|0.2|57.455045852897065|0.0|-76.57296875024865|-101.49639739923016|-200.378032120538
340.0|0.0|0.2|0.2|53.90461392398441|0.0|-78.87398584458127|-104.96550195268006|-208.9688750990036
342.0|0.0|0.2|0.2|52.1748675630511|0.0|-77.71876932368582|-103.55524091806252|-206.75491330226177
314.0|0.0|0.2|0.2|62.73158677709705|0.0|-91.63345248896084|-121.93511463243377|-242.72205444069112
316.0|0.0|0.2|0.2|57.866287695899175|0.0|-84.64871245805833|-112.64639729272588|-224.24439739533665
318.0|0.0|0.2|0.2|51.77734774103911|0.0|-77.62157195643302|-103.48919250468876|-206.94976059664896
320.0|0.0|0.2|0.2|54.2242799365165|0.0|-81.18335334425343|-108.2228152345558|-216.3345354606137
322.0|0.0|0.2|0.2|53.54107493244593|0.0|-80.18837679578886|-106.89914342838644|-213.6999361372815
324.0|0.0|0.2|0.2|53.1551815089714|0.0|-79.18161511509736|-105.49932166693672|-210.5977512652564
326.0|0.0|0.2|0.2|54.47888371095194|0.0|-80.94445576195108|-107.8251788952574|-215.1320348750113
328.0|0.0|0.2|0.2|55.65330025383643|0.0|-83.11373571332743|-110.76749867654536|-221.26962332885668
330.0|0.0|0.2|0.2|53.35288769845359|0.0|-79.1070643173159|-105.37054304979942|-210.2184250260863
332.0|0.0|0.2|0.2|54.67984900706959|0.0|-80.79413157923679|-107.59190791570532|-214.5295746599806
334.0|0.0|0.2|0.2|56.56602742050339|0.0|-83.94324420949137|-111.8107505309584|-223.04226662546043
336.0|0.0|0.2|0.2|57.0236195012857|0.0|-85.0591234821714|-113.35047577717076|-226.38480470150907
338.0|0.0|0.2|0.2|53.8775228111618|0.0|-79.03309779461419|-105.1889584618933|-209.46373244673856
340.0|0.0|0.2|0.2|56.2240930975074|0.0|-82.6963235202476|-110.10144197707412|-219.44512308632565
342.0|0.0|0.2|0.2|54.86716658307128|0.0|-81.5956455314687|-108.71540809421056|-217.04785933822944
344.0|0.0|0.2|0.2|56.40164179688702|0.0|-84.4038539190612|-112.50951650271824|-224.86726502159905
346.0|0.0|0.2|0.2|55.54770351020744|0.0|-81.51905314823871|-108.52504080495328|-216.2721936477926
348.0|0.0|0.2|0.2|50.99965228574562|0.0|-76.41147748350595|-101.87014094071598|-203.6838908933645
350.0|0.0|0.2|0.2|51.97141994219213|0.0|-77.02992251895321|-102.59419285172416|-204.62235487051063
352.0|0.0|0.2|0.2|56.37022772397014|0.0|-83.48017243905636|-111.178034661223|-221.7093460488096
320.0|0.0|0.2|0.2|55.157716783894685|0.0|-79.80155461136124|-106.16988876735525|-211.30196484220397
322.0|0.0|0.2|0.2|52.87218297906346|0.0|-79.2743206566222|-105.6943310723302|-211.3670051277737
324.0|0.0|0.2|0.2|57.431897752507496|0.0|-85.32592104365546|-113.67540533135131|-226.8964658679608
326.0|0.0|0.2|0.2|53.56555369398899|0.0|-80.27930924821362|-107.02910072761826|-214.0078879411502
328.0|0.0|0.2|0.2|50.56532988860066|0.0|-75.75329498830278|-100.9915398289602|-201.91859156295928
330.0|0.0|0.2|0.2|53.20957988261779|0.0|-79.42175048245974|-105.84438338137925|-211.425773743888
332.0|0.0|0.2|0.2|53.44069107077805|0.0|-80.07758067945673|-106.75794812156576|-213.45416065792008
334.0|0.0|0.2|0.2|49.89252025263496|0.0|-74.8418562663801|-99.79050499701702|-199.59404642056973
336.0|0.0|0.2|0.2|52.88640990828552|0.0|-78.90840234837701|-105.16129489459202|-210.0762773171196
338.0|0.0|0.2|0.2|48.22919043214783|0.0|-72.2603364761327|-96.33488436401996|-192.60621783731924
340.0|0.0|0.2|0.2|53.39564278699701|0.0|-80.0855595804132|-106.78029748753124|-213.56316173261916
342.0|0.0|0.2|0.2|50.49868031359087|0.0|-75.71337177635381|-100.94653207292843|-201.8721096099871
344.0|0.0|0.2|0.2|51.96237718777377|0.0|-77.94365950208407|-103.92567469322246|-207.860756890622
346.0|0.0|0.2|0.2|56.0902062950974|0.0|-83.4049140942905|-111.122187420486|-221.8269660252028
348.0|0.0|0.2|0.2|54.39518546206372|0.0|-81.50401566399763|-108.65975673759854|-217.25846855040456
350.0|0.0|0.2|0.2|56.83364566894456|0.0|-85.17971211631856|-113.56268414685093|-227.0735045931441
352.0|0.0|0.2|0.2|57.83664671208544|0.0|-82.33982622542823|-109.4757357195898|-217.5955952689536
354.0|0.0|0.2|0.2|53.0343801041337|0.0|-79.53675641891651|-106.04750171426431|-212.0925616315366
356.0|0.0|0.2|0.2|52.51016040086847|0.0|-78.46019919655247|-104.57464387972286|-208.95249682167093
358.0|0.0|0.2|0.2|52.62512749823591|0.0|-77.91710707061831|-103.7770763172377|-207.00538662341424
